FECHA,INUMET
01/08/2026,44.2
02/08/2026,4.3
03/08/2026,0.0
04/08/2026,0.6
05/08/2026,0.1
06/08/2026,8.1
07/08/2026,35.2
11/08/2026,0.0
12/08/2026,0.0
13/08/2026,0.0
14/08/2026,0.0
15/08/2026,0.0
16/08/2026,0.0
17/08/2026,2.1
18/08/2026,3.1
19/08/2026,0.1
20/08/2026,0.0
21/08/2026,0.0
22/08/2026,0.5
23/08/2026,0.0
24/08/2026,0.0
25/08/2026,0.0
26/08/2026,0.0
27/08/2026,0.4
28/08/2026,0.0
29/08/2026,0.0
30/08/2026,0.1
31/08/2026,0.0
