Duracion (min),Equipo,P (mm),TR10 (mm),TR20 (mm)
10,CCZ9,10.0,22.2,24.9
20,EBSV,11.94,30.4,34.5
30,EBSV,13.21,38.7,43.9
60,EBSV,14.22,50.3,56.8
120,EBSV,14.99,65.8,74.0
180,EBSV,14.99,78.0,88.2
360,LP,21.59,99.5,112.5
