,mm
MI,130.3
AL,143.0
AN,93.0
EBCE,177.8
CCZ9,142.4
LP,152.9
EBCO,139.9
EBMA,149.1
EBSA,139.2
MB,141.5
PY,144.5
EBSV,146.3
