ID,Lugar,Total desde el crudo (mm),Descartado por outlier (mm),Total tabla diaria (mm),Diferencia (mm)
MI,Capurro,130.3,0.0,130.3,-0.0
AL,Carrasco,143.01,0.0,143.01,0.0
PCV,Casavalle,0.0,0.0,0.0,0.0
AN,Centro,92.97,0.0,92.97,-0.0
EBCE,Cerro,177.8,0.0,177.8,0.0
EBNC,Chacarita,0.0,0.0,0.0,0.0
EBCN,Colón,32.26,0.0,32.26,0.0
CCZ9,Curva de Maroñas,142.43,0.0,142.43,0.0
LP,La Blanqueada,152.92,0.0,152.92,0.0
EBLE,La Esperanza,0.0,0.0,0.0,0.0
PA,Lezica,3.56,0.0,3.56,0.0
EBCO,Malvín,139.94,0.0,139.94,0.0
EBMA,Manga,149.09,0.0,149.09,0.0
EBSA,Paso de la Arena,139.19,0.0,139.19,0.0
MB,Prado,141.48,0.0,141.48,0.0
PY,Pta.Yeguas,144.53,0.0,144.53,-0.0
PC,Punta Carretas,4.81,0.0,4.81,0.0
EBSV,Santiago Vázquez,146.3,0.0,146.3,-0.0
