Duracion (min),Equipo,P (mm),TR10 (mm),TR20 (mm)
10,EBCE,3.31,22.2,24.9
20,EBSA,5.34,30.4,34.5
30,EBSA,7.62,38.7,43.9
60,EBCE,10.93,50.3,56.8
120,EBCE,18.04,65.8,74.0
180,EBCE,24.13,78.0,88.2
360,EBCE,29.97,99.5,112.5
