ID,Lugar,Datos faltantes (%),Descartar por faltantes
EBMA,Manga,44.9,False
EBCN,Colon,25.15,False
PC,Punta Carretas,13.88,False
AN,Centro,10.28,False
PCV,Casavalle,2.58,False
EBSV,Santiago Vazquez,0.84,False
CCZ9,Curva de Maronas,0.52,False
MB,Prado,0.44,False
EBLE,La Esperanza,0.35,False
EBSA,Paso de la Arena,0.25,False
PA,Lezica,0.19,False
MI,Capurro,0.18,False
EBCO,Malvin,0.1,False
EBCE,Cerro,0.08,False
EBNC,Chacarita,0.08,False
AL,Carrasco,0.0,False
LP,La Blanqueada,0.0,False
PY,Pta.Yeguas,0.0,False
