,mm
MI,110.5
AN,65.8
EBCE,111.8
EBNC,106.2
CCZ9,80.5
LP,101.9
EBLE,113.0
EBCO,90.9
EBSA,25.6
MB,106.7
PY,179.8
EBSV,115.0
INUMET,98.8
