Duracion (min),Equipo,P (mm),TR10 (mm),TR20 (mm)
10,PY,15.74,22.2,24.9
20,PY,23.11,30.4,34.5
30,PY,29.72,38.7,43.9
60,PY,38.1,50.3,56.8
120,PY,51.05,65.8,74.0
180,PY,57.91,78.0,88.2
360,PY,62.48,99.5,112.5
