Duracion (min),Equipo,P (mm),TR10 (mm),TR20 (mm)
10,PY,16.51,22.2,24.9
20,PY,24.89,30.4,34.5
30,PY,30.48,38.7,43.9
60,PY,45.72,50.3,56.8
120,PY,65.28,65.8,74.0
180,PY,73.15,78.0,88.2
360,PY,79.76,99.5,112.5
